"Listing Number","Property Type","Short Address","List Price","Parcel ID","Sold Date","Sold Price","Sold Price/SqFt","SqFt - Living","SqFt - Total","Subdivision","Waterfront","Days On Market"
"RX-10487076","Residential","2565 S Ocean Boulevard 3030","198900.00","50434411040003030","2019-04-01","185000.00","289.06","640.00","640.00","PALM BEACH WHITEHOUSE","Yes","92"
"RX-10427515","Residential","2780 S Ocean Boulevard 207","225000.00","50434423120002070","2019-04-19","185000.00","219.97","841.00","960.00","AMBASSADOR II CORP","Yes","345"
"RX-10497977","Residential","2275 S Ocean Boulevard 306n","625000.00","50434414010013060","2019-04-22","570000.00","353.15","1614.00","1614.00","REEF CONDO","Yes","90"
"RX-10487301","Residential","2760 S Ocean Boulevard 105","375000.00","50434423160001050","2019-04-23","310000.00","269.56","1150.00","1400.00","REGENCY OF PALM BEACH INC","Yes","87"
"RX-10444785","Residential","2773 S Ocean Boulevard 303","250000.00","50434423040003030","2019-04-25","235000.00","169.18","1389.00","1515.00","Carlyle House","Yes","265"
"RX-10442982","Residential","3120 S Ocean Boulevard 1-301","999000.00","50434426070013010","2019-04-25","900000.00","350.19","2570.00","2920.00","THIRTY ONE TWENTY CONDO","Yes","272"
"RX-10484757","Residential","2580 S Ocean Boulevard 2 A 7","2795000.00","50434423090020017","2019-04-29","2555000.00","1036.93","2464.00","3194.00","PALM BEACH STRATFORD CONDO","Yes","81"
"RX-10476872","Residential","2600 S Ocean Boulevard 305n","1295000.00","50434423060013050","2019-04-25","1150000.00","627.04","1834.00","2785.00","TWENTY SIX HUNDRED CONDO","Yes","148"
"RX-10448181","Residential","3170 S Ocean Boulevard 403s","1995000.00","50434426080024030","2019-04-26","1325000.00","449.15","2950.00","2950.00","ENCLAVE OF PALM BEACH CONDO","Yes","259"
"RX-10445686","Residential","2773 S Ocean Boulevard 116","235000.00","50434423040001160","2019-04-26","210000.00","151.18","1389.00","1500.00","CARLYLE HOUSE CONDO","Yes","237"
"RX-10495387","Residential","2100 S Ocean Boulevard 508n","3495000.00","50434414020015080","2019-05-01","3395000.00","1063.92","3191.00","3794.00","TWENTY ONE HUNDRED CONDO","Yes","31"
"RX-10479790","Residential","2600 S Ocean Boulevard 503w","1895000.00","50434423060035030","2019-04-29","1775000.00","738.35","2404.00","3346.00","TWENTY SIX HUNDRED CONDO","Yes","141"
"RX-10488452","Residential","2774 S Ocean Boulevard 104","399000.00","50434423110001040","2019-05-01","389000.00","300.61","1294.00","1450.00","AMBASSADOR SOUTH DEV CORP","Yes","65"
"RX-10492978","Residential","2784 S Ocean Boulevard 501s","949000.00","50434423050025010","2019-05-02","862500.00","394.55","2186.00","2069.00","COVE CONDO","Yes","105"
"RX-10462271","Residential","3450 S Ocean Boulevard 3040","224900.00","50434435030003040","2019-05-03","205000.00","215.33","952.00","952.00","PATRICIAN OF PALM BEACH CONDO","Yes","212"
"RX-10512734","Residential","3475 S Ocean Boulevard 402","275000.00","50434435020004020","2019-05-03","251000.00","179.92","1395.00","1395.00","LA BONNE VIE COND","Yes","21"
"RX-10381186","Residential","2600 S Ocean Boulevard 304 N","595000.00","50434423060013040","2019-05-03","540000.00","361.20","1495.00","1600.00","2600 Building","Yes","532"
"RX-10443834","Residential","2773 S Ocean Boulevard 216","265000.00","50434423040002160","2019-05-06","250000.00","179.98","1389.00","1389.00","CARLYLE HOUSE CONDO","Yes","272"
"RX-10511240","Residential","3400 S Ocean Boulevard 3fii","689000.00","50434435130020036","2019-05-07","690000.00","325.62","2119.00","2700.00","ATRIUMS OF PALM BEACH CONDO","Yes","17"
"RX-10485737","Residential","2760 S Ocean Boulevard 503","325000.00","50434423160005030","2019-05-01","326000.00","283.47","1150.00","1300.00","REGENCY OF PALM BEACH INC","Yes","122"
"RX-10430148","Residential","2100 S Ocean Boulevard 408n","3595000.00","50434414020014080","2019-05-16","3450000.00","1081.16","3191.00","3794.00","Sloans Curve Condo","Yes","285"
"RX-10494092","Residential","3140 S Ocean Boulevard 203s","1595000.00","50434426050022030","2019-05-15","1400000.00","422.96","3310.00","2695.00","CARLTON PLACE CONDO","Yes","102"
"RX-10494035","Residential","3230 S Ocean Blvd B304","274900.00","50434426010003040","2019-05-16","255000.00","260.20","980.00","1100.00","LA RENAISSANCE","Yes","72"
"RX-10483909","Residential","3170 S Ocean Boulevard N202","2199000.00","50434426080012020","2019-05-21","1950000.00","661.01","2950.00","2950.00","ENCLAVE OF PALM BEACH CONDO","Yes","136"
"RX-10508691","Residential","3440 S Ocean Boulevard 108s","525000.00","50434435180021080","2019-05-22","495000.00","262.46","1886.00","2886.00","HALCYON OF PALM BEACH","Yes","55"
"RX-10500954","Residential","2774 S Ocean Boulevard 609","398995.00","50434423110006090","2019-05-24","360000.00","278.20","1294.00","1450.00","AMBASSADOR SOUTH DEV CORP","Yes","45"
"RX-10523156","Residential","2565 S Ocean Boulevard 3230","200000.00","50434411040003230","2019-05-15","197000.00","307.81","640.00","640.00","PALM BEACH WHITEHOUSE","Yes","0"
"RX-10494406","Residential","2773 S Ocean Boulevard 302","429999.00","50434423040003020","2019-05-29","426000.00","306.69","1389.00","1389.00","CARLYLE HOUSE CONDO","Yes","119"
"RX-10484348","Residential","3300 S Ocean Boulevard 505-S","1095000.00","50434426040025050","2019-05-30","962500.00","427.77","2250.00","2342.00","MERIDIAN OF PALM BEACH CONDO","Yes","154"
"RX-10517800","Residential","3450 S Ocean Boulevard 404","229000.00","50434435030004040","2019-05-30","185000.00","194.32","952.00","1012.00","PATRICIAN OF PALM BEACH CONDO","Yes","30"
